Champion,Cooldowns,Difficulty,Conseils pour les matchs,Starting Items,Pictures
Aatrox,"P 24-12, Q 14-6, W 20-14, E 9-5, R 120-80",5,"N'échangez pas avec Aatrox quand il a son passif actif. Il a un très long temps de récupération, donc dès qu'il l'utilise, ne cherchez pas à échanger avec lui. Faites de votre mieux pour esquiver ses points forts ou vous subirez de nombreux dégâts. Si vous êtes touché par son W, vous pouvez l'esquiver, sur le côté et en arrière. Ne le combattez pas dans son ult, sauf si vous avez déjà des blessures évidentes. Il va guérir vos dégâts.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Aatrox_0.jpg
Ahri,"Q 7, W 9-5, E 12, R 130-80",7,"Ne lui faites jamais de Q3 si elle a du charme. Vous vous prenez son combo complet au visage et vous mourrez. Faites de votre mieux pour esquiver son poke Q en début de partie, surtout le retour qui fait de vrais dégâts. Au niveau 6, il est plus difficile de la tuer car elle est très mobile. Appâtez son charme et cherchez ensuite des échanges courts ou un all-in si vous le pouvez. Ne lui envoyez jamais d'ult si elle a son ult en place, ou elle s'éloignera simplement et vivra.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Ahri_0.jpg
Akali,"Q 1.5, W 20, E 16-10, R 100-60",8,"Akali est ennuyeuse à cause de son spam de Q, de son shroud et de ses dashes. Ne lui faites jamais de Q3 lorsqu'elle a un E en l'air, ou elle l'esquivera tout simplement ; son E vous assommera et vous serez à portée de tir. Faites de votre mieux pour esquiver son poke Q en début de partie. Un gros morceau de HP ne vaut pas un seul cs. Utilisez votre E avant d'avoir Q3 pour pouvoir la frapper plus facilement. Early null-magic mantle est bon surtout si la lane est égale.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akali_0.jpg
Akshan,"P 16-8, Q 8-5, W 18-2, E 18-12 (resets), R 100-70",9,"Akshan est très oppressant au début. Vous ne pouvez pas le combattre tant que vous n'avez pas de zerks et de sceptre de vampire. Jouez avec l'objectif d'évoluer et de toucher vos pics d'objets. Faites de votre mieux pour farmer sans prendre trop de poke ou vous serez sensible aux ganks/plongées. Ne restez pas dans la vague parce qu'il va Q la vague, vous endommageant et poussant la vague en même temps. Plus son Q touche de cibles, plus la vague ira loin.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Akshan_0.jpg
Anivia,"Q 11-7, W 17, E 4, R 4-2",5,"Anivia est ennuyeuse, mais ce matchup est équilibré. Vous DEVEZ esquiver sa Q ou vous prendrez son combo et vous vous ferez chunker. Appâtez sa Q en faisant des E et en courant sur le côté. Vous pouvez aussi faire un E en avant quand elle vous fait un mur. Votre E ira derrière le mur ; utilisez ceci pour échapper à un gank ou pour sauver votre vie. Au niveau 6, la plupart des anivias se contenteront de faire du ""perma shove"", vous pouvez donc vous contenter de jouer à l'échelle et de farmer pour vos objets.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Anivia_0.jpg
Annie,"Q 4, W 8, E 14-10, R 120-80",6,Rush null-magic mantle dans ce matchup et elle ne vous fera jamais de one-shot avec son combo. Utilisez votre W quand elle vous Qs pour atténuer les dégâts pendant l'échange. Elle cherchera à vous harceler avec ses AA à longue portée. Cherchez à l'allumer dès qu'elle utilise son étourdissement passif. Elle n'aura aucun moyen de se rétablir et devra faire un flash.,"Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Annie_0.jpg
Aurelion Sol,"Q 12-8, W 8-2, E 80-60, R 110-70",2,"Ce matchup est assez facile, il suffit de faire de votre mieux pour ne pas le laisser vous piquer avec son W ou ses AA. La plupart des ASols opteront pour le push et le roam, alors faites du farm et du ping mia pour que votre équipe ne meure pas à cause de ses roams. Vous pouvez esquiver sa Q en utilisant correctement votre E et/ou votre Q3. Lorsqu'il vous fait une attaque, vous pouvez également utiliser votre ult et vous ne serez pas renvoyé en arrière parce que vous l'avez frappé avec.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/AurelionSol_0.jpg
Azir,"Q 14-6, W 1.5, 8-6, E 19-15, R 120-90",6,"Ce matchup est assez équilibré, à condition que vous ne le laissiez pas vous harceler gratuitement. Vous pouvez annuler le CC de son Ult avec votre Q3 ou votre Ult. Utilisez votre W pour bloquer les dégâts de son Q. Placez-vous au-dessus de lui pour qu'il ne puisse pas faire de E et s'échapper. Si son E entre en collision avec vous, cela l'empêchera de prendre tout le E.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Azir_0.jpg
Brand,"Q 8-6, W 10-8, E 12-8, R 105-75",2,"Ce matchup est vraiment facile, à condition que vous puissiez esquiver sa Q et sa W. Faites des échanges très courts avec lui et il ne sera jamais capable de vous faire un full combo. Il n'y a pas beaucoup de gens qui jouent ce champion en dehors du support, donc vous ne jouerez que rarement contre le Brand mid. Ne lui faites pas de Q3 ou il vous fera un full combo.","Bouclier de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Brand_0.jpg
Camille,"P 20-10, Q 9-6, W 17-11, E 16-12, R 140-90",6,"Cette championne est toujours très forte même après tous les nerfs. Elle prendra probablement TP/Ignite. Ne vous tenez pas à côté des murs ou elle vous fera tout simplement entrer. Restez hors de sa portée AA lorsque son Q2 est actif. Utilisez votre W en réponse à son W. Tant que vous conservez vos objets et votre or, vous devriez être capable de la battre à 1 contre 1. Celui qui touche son mythique en premier prendra le contrôle de la voie. Votre E peut aussi arrêter son R si vous avez le bon timing. Utilisez votre E pour esquiver son E.","Lame de doran, Potion",https://ddragon.leagueoflegends.com/cdn/img/champion/splash/Camille_0.jpg
